car,move
G,-1
K,-1
T,-1
U,1
W,1
H,-1
N,1
O,-1
K,-1
O,-1
Z,1
Y,1
Y,1
Y,1
Y,1
Y,1
Z,-1
J,-1
D,-1
B,1
A,1
B,1
B,1
D,1
J,1
L,-1
V,1
V,1
S,1
K,-1
K,-1
K,-1
S,-1
V,-1
L,1
V,-1
O,1
O,1
N,-1
H,1
J,-1
H,1
H,1
H,1
J,1
N,1
O,-1
O,-1
M,1
X,1
C,-1
N,1
X,1
Q,1
Q,1
Q,1
R,-1
X,1
M,-1
X,1
N,-1
C,1
X,1
X,1
X,1
